2/17/2022  11:51 AM
Units: Ncm
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.005	0.000	
2	0.005	0.099	
3	0.005	0.132	
4	0.005	0.166	
5	0.005	0.199	
6	0.005	0.231	
7	0.005	0.264	
8	0.005	0.297	
9	0.005	0.330	
10	0.005	0.363	
11	0.005	0.396	
12	0.005	0.429	
13	0.005	0.462	
14	0.005	0.495	
15	0.005	0.528	
16	0.005	0.561	
17	0.005	0.594	
18	0.005	0.627	
19	0.005	0.661	
20	0.005	0.693	
21	0.005	0.726	
22	0.005	0.760	
23	0.005	0.792	
24	0.005	0.825	
25	0.005	0.859	
26	0.005	0.892	
27	0.005	0.924	
28	0.005	0.957	
29	0.005	0.990	
30	0.005	1.023	
31	0.005	1.056	
32	0.005	1.089	
33	0.005	1.123	
34	0.005	1.155	
35	0.005	1.188	
36	0.005	1.222	
37	0.005	1.254	
38	0.005	1.287	
39	0.005	1.320	
40	0.005	1.353	
41	0.005	1.386	
42	0.005	1.419	
43	0.005	1.452	
44	0.005	1.485	
45	0.005	1.519	
46	0.005	1.551	
47	0.005	1.584	
48	0.005	1.617	
49	0.005	1.650	
50	0.005	1.683	
51	0.005	1.717	
52	0.005	1.749	
53	0.005	1.782	
54	0.005	1.815	
55	0.005	1.849	
56	0.005	1.882	
57	0.005	1.914	
58	0.005	1.948	
59	0.010	1.981	
60	0.010	2.013	
61	0.010	2.046	
62	0.005	2.079	
63	0.000	2.112	
64	-0.010	2.145	
65	-0.050	2.212	
66	-0.070	2.244	
67	-0.095	2.310	
68	-0.110	2.344	
69	-0.145	2.409	
70	-0.150	2.442	
71	-0.155	2.475	
72	-0.155	2.508	
73	-0.155	2.541	
74	-0.155	2.574	
75	-0.155	2.607	
76	-0.150	2.641	
77	-0.145	2.673	
78	-0.145	2.706	
79	-0.140	2.739	
80	-0.140	2.773	
81	-0.145	2.806	
82	-0.145	2.839	
83	-0.140	2.872	
84	-0.135	2.904	
85	-0.130	2.937	
86	-0.125	2.970	
87	-0.115	3.003	
88	-0.110	3.037	
89	-0.110	3.069	
90	-0.110	3.103	
91	-0.115	3.135	
92	-0.110	3.168	
93	-0.120	3.201	
94	-0.125	3.234	
95	-0.135	3.267	
96	-0.140	3.300	
97	-0.140	3.333	
98	-0.145	3.366	
99	-0.140	3.399	
100	-0.130	3.432	
101	-0.125	3.466	
102	-0.130	3.498	
103	-0.145	3.532	
104	-0.150	3.565	
105	-0.150	3.597	
106	-0.160	3.630	
107	-0.165	3.663	
108	-0.160	3.696	
109	-0.170	3.731	
110	-0.175	3.762	
111	-0.180	3.796	
112	-0.195	3.828	
113	-0.170	3.894	
114	-0.160	3.927	
115	-0.155	3.960	
116	-0.150	3.993	
117	-0.150	4.026	
118	-0.160	4.059	
119	-0.170	4.092	
120	-0.185	4.125	
121	-0.210	4.158	
122	-0.215	4.191	
123	-0.220	4.224	
124	-0.220	4.257	
125	-0.220	4.290	
126	-0.225	4.323	
127	-0.215	4.356	
128	-0.190	4.389	
129	-0.170	4.422	
130	-0.145	4.455	
131	-0.130	4.489	
132	-0.120	4.521	
133	-0.115	4.554	
134	-0.115	4.587	
135	-0.110	4.621	
136	-0.105	4.653	
137	-0.105	4.686	
138	-0.100	4.719	
139	-0.090	4.752	
140	-0.090	4.785	
141	-0.085	4.818	
142	-0.080	4.852	
143	-0.080	4.884	
144	-0.080	4.917	
145	-0.085	4.950	
146	-0.090	4.983	
147	-0.090	5.016	
148	-0.090	5.049	
149	-0.095	5.082	
150	-0.105	5.115	
151	-0.110	5.148	
152	-0.120	5.181	
153	-0.130	5.214	
154	-0.135	5.247	
155	-0.145	5.281	
156	-0.155	5.313	
157	-0.155	5.346	
158	-0.150	5.379	
159	-0.145	5.413	
160	-0.140	5.446	
161	-0.145	5.479	
162	-0.130	5.512	
163	-0.125	5.544	
164	-0.120	5.577	
165	-0.115	5.610	
166	-0.110	5.643	
167	-0.105	5.676	
168	-0.100	5.709	
169	-0.100	5.742	
170	-0.095	5.775	
171	-0.085	5.808	
172	-0.080	5.841	
173	-0.085	5.874	
174	-0.090	5.908	
175	-0.090	5.940	
176	-0.090	5.973	
177	-0.090	6.006	
178	-0.095	6.039	
179	-0.100	6.072	
180	-0.100	6.105	
181	-0.105	6.138	
182	-0.110	6.172	
183	-0.115	6.204	
184	-0.115	6.237	
185	-0.115	6.270	
186	-0.115	6.303	
187	-0.120	6.336	
188	-0.120	6.369	
189	-0.125	6.402	
190	-0.120	6.435	
191	-0.120	6.469	
192	-0.130	6.501	
193	-0.145	6.534	
194	-0.150	6.568	
195	-0.145	6.600	
196	-0.150	6.633	
197	-0.150	6.666	
198	-0.140	6.699	
199	-0.135	6.732	
200	-0.140	6.766	
201	-0.145	6.799	
202	-0.145	6.833	
203	-0.140	6.864	
204	-0.135	6.897	
205	-0.125	6.930	
206	-0.115	6.963	
207	-0.110	6.997	
208	-0.105	7.029	
209	-0.095	7.063	
210	-0.090	7.095	
211	-0.095	7.128	
212	-0.090	7.161	
213	-0.090	7.194	
214	-0.085	7.227	
215	-0.085	7.260	
216	-0.085	7.293	
217	-0.085	7.326	
218	-0.080	7.359	
219	-0.080	7.392	
220	-0.085	7.425	
221	-0.085	7.459	
222	-0.085	7.491	
223	-0.080	7.524	
224	-0.080	7.557	
225	-0.075	7.592	
226	-0.075	7.623	
227	-0.075	7.656	
228	-0.070	7.689	
229	-0.070	7.722	
230	-0.070	7.755	
231	-0.075	7.788	
232	-0.075	7.821	
233	-0.075	7.855	
234	-0.080	7.887	
235	-0.080	7.921	
236	-0.080	7.953	
237	-0.085	7.986	
238	-0.090	8.020	
239	-0.100	8.052	
240	-0.105	8.087	
241	-0.105	8.118	
242	-0.120	8.151	
243	-0.125	8.185	
244	-0.115	8.217	
245	-0.115	8.250	
246	-0.115	8.283	
247	-0.120	8.316	
248	-0.115	8.349	
249	-0.105	8.382	
250	-0.090	8.416	
251	-0.085	8.448	
252	-0.085	8.481	
253	-0.085	8.514	
254	-0.080	8.547	
255	-0.075	8.580	
256	-0.075	8.613	
257	-0.080	8.647	
258	-0.075	8.679	
259	-0.075	8.712	
260	-0.075	8.745	
261	-0.080	8.779	
262	-0.085	8.811	
263	-0.085	8.845	
264	-0.090	8.877	
265	-0.085	8.910	
266	-0.085	8.943	
267	-0.075	8.977	
268	-0.070	9.009	
269	-0.070	9.042	
270	-0.080	9.108	
271	-0.075	9.141	
272	-0.075	9.207	
273	-0.070	9.241	
274	-0.070	9.273	
275	-0.075	9.306	
276	-0.080	9.339	
277	-0.090	9.373	
278	-0.095	9.406	
279	-0.100	9.438	
280	-0.105	9.471	
281	-0.110	9.504	
282	-0.120	9.537	
283	-0.120	9.570	
284	-0.120	9.604	
285	-0.120	9.636	
286	-0.120	9.669	
287	-0.115	9.702	
288	-0.115	9.735	
289	-0.105	9.768	
290	-0.105	9.801	
291	-0.095	9.835	
292	-0.090	9.868	
293	-0.090	9.901	
294	-0.095	9.933	
295	-0.095	9.967	
296	-0.090	9.999	
297	-0.090	10.033	
298	-0.085	10.065	
299	-0.080	10.132	
300	-0.075	10.164	
301	-0.080	10.230	
302	-0.080	10.263	
303	-0.080	10.296	
304	-0.085	10.329	
305	-0.085	10.362	
306	-0.085	10.395	
307	-0.075	10.428	
308	-0.075	10.461	
309	-0.075	10.494	
310	-0.075	10.527	
311	-0.065	10.560	
312	-0.060	10.593	
313	-0.065	10.626	
314	-0.070	10.693	
315	-0.075	10.725	
316	-0.080	10.791	
317	-0.080	10.824	
318	-0.080	10.857	
319	-0.085	10.892	
320	-0.085	10.924	
321	-0.085	10.957	
322	-0.080	10.990	
323	-0.075	11.023	
324	-0.075	11.055	
325	-0.080	11.122	
326	-0.075	11.154	
327	-0.075	11.220	
328	-0.075	11.253	
329	-0.070	11.319	
330	-0.070	11.352	
331	-0.065	11.387	
332	-0.065	11.419	
333	-0.065	11.484	
334	-0.065	11.517	
335	-0.065	11.550	
336	-0.065	11.583	
337	-0.065	11.616	
338	-0.065	11.651	
339	-0.060	11.682	
340	-0.060	11.748	
341	-0.060	11.781	
342	-0.055	11.815	
343	-0.055	11.847	
344	-0.060	11.914	
345	-0.060	11.946	
346	-0.055	12.013	
347	-0.060	12.045	
348	-0.065	12.111	
349	-0.070	12.146	
350	-0.080	12.177	
351	-0.100	12.243	
352	-0.105	12.276	
353	-0.115	12.342	
354	-0.120	12.375	
355	-0.120	12.441	
356	-0.120	12.475	
357	-0.120	12.540	
358	-0.115	12.574	
359	-0.110	12.606	
360	-0.110	12.672	
361	-0.100	12.706	
362	-0.100	12.738	
363	-0.095	12.804	
364	-0.095	12.837	
365	-0.090	12.903	
366	-0.090	12.936	
367	-0.085	13.002	
368	-0.080	13.036	
369	-0.085	13.101	
370	-0.090	13.134	
371	-0.090	13.200	
372	-0.085	13.234	
373	-0.070	13.299	
374	-0.070	13.333	
375	-0.070	13.398	
376	-0.065	13.431	
377	-0.070	13.497	
378	-0.070	13.530	
379	-0.070	13.596	
380	-0.065	13.629	
381	-0.065	13.695	
382	-0.070	13.728	
383	-0.065	13.794	
384	-0.065	13.827	
385	-0.065	13.893	
386	-0.065	13.926	
