2/17/2022  11:40 AM
Units: Ncm
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	-0.005	0.000	
2	-0.005	0.100	
3	-0.005	0.132	
4	-0.005	0.165	
5	0.000	0.198	
6	0.000	0.231	
7	-0.005	0.264	
8	-0.005	0.297	
9	-0.005	0.330	
10	0.000	0.364	
11	-0.005	0.396	
12	-0.005	0.429	
13	-0.005	0.463	
14	0.000	0.496	
15	0.000	0.528	
16	0.000	0.561	
17	-0.005	0.594	
18	0.000	0.627	
19	0.000	0.661	
20	0.000	0.693	
21	0.000	0.726	
22	-0.005	0.760	
23	0.000	0.792	
24	0.000	0.826	
25	0.000	0.858	
26	0.000	0.891	
27	-0.005	0.925	
28	0.000	0.957	
29	0.000	0.990	
30	0.000	1.023	
31	0.000	1.056	
32	0.000	1.089	
33	0.000	1.122	
34	0.000	1.155	
35	0.000	1.188	
36	0.000	1.221	
37	-0.005	1.254	
38	0.000	1.287	
39	0.000	1.320	
40	0.000	1.353	
41	0.000	1.386	
42	0.000	1.419	
43	0.000	1.452	
44	0.000	1.485	
45	0.000	1.519	
46	0.000	1.551	
47	0.000	1.584	
48	0.000	1.617	
49	0.000	1.650	
50	0.000	1.683	
51	0.000	1.716	
52	0.000	1.749	
53	0.000	1.782	
54	0.000	1.816	
55	0.000	1.848	
56	0.000	1.882	
57	0.000	1.914	
58	0.000	1.947	
59	0.000	1.980	
60	0.000	2.013	
61	0.000	2.046	
62	0.000	2.080	
63	0.000	2.112	
64	0.000	2.145	
65	-0.005	2.179	
66	-0.010	2.211	
67	-0.010	2.244	
68	-0.010	2.277	
69	-0.015	2.310	
70	-0.030	2.343	
71	-0.045	2.377	
72	-0.065	2.409	
73	-0.080	2.442	
74	-0.100	2.508	
75	-0.135	2.541	
76	-0.025	2.607	
77	-0.200	2.640	
78	-0.115	2.673	
79	-0.120	2.706	
80	-0.140	2.739	
81	-0.270	2.772	
82	-0.190	2.805	
83	-0.200	2.838	
84	-0.185	2.871	
85	-0.185	2.904	
86	-0.180	2.937	
87	-0.180	2.970	
88	-0.180	3.003	
89	-0.180	3.036	
90	-0.185	3.069	
91	-0.185	3.102	
92	-0.185	3.136	
93	-0.185	3.168	
94	-0.180	3.201	
95	-0.180	3.234	
96	-0.185	3.267	
97	-0.185	3.301	
98	-0.185	3.333	
99	-0.200	3.366	
100	-0.210	3.400	
101	-0.220	3.432	
102	-0.220	3.466	
103	-0.220	3.498	
104	-0.225	3.531	
105	-0.220	3.564	
106	-0.225	3.597	
107	-0.225	3.630	
108	-0.235	3.663	
109	-0.245	3.696	
110	-0.250	3.729	
111	-0.260	3.762	
