2/17/2022  11:29 AM
Units: Ncm
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.005	0.000	
2	0.005	0.099	
3	0.005	0.131	
4	0.005	0.164	
5	0.005	0.197	
6	0.005	0.231	
7	0.005	0.263	
8	0.005	0.296	
9	0.005	0.329	
10	0.005	0.362	
11	0.005	0.395	
12	0.005	0.429	
13	0.005	0.461	
14	0.005	0.494	
15	0.005	0.527	
16	0.005	0.560	
17	0.005	0.593	
18	0.005	0.626	
19	0.005	0.659	
20	0.005	0.693	
21	0.005	0.725	
22	0.005	0.758	
23	0.005	0.791	
24	0.005	0.824	
25	0.005	0.857	
26	0.005	0.890	
27	0.005	0.924	
28	0.005	0.956	
29	0.005	0.990	
30	0.005	1.022	
31	0.005	1.055	
32	0.005	1.088	
33	0.005	1.121	
34	0.005	1.154	
35	0.005	1.187	
36	0.005	1.220	
37	0.005	1.253	
38	0.005	1.286	
39	0.005	1.319	
40	0.005	1.352	
41	0.005	1.385	
42	0.005	1.419	
43	0.005	1.451	
44	0.005	1.484	
45	0.005	1.517	
46	0.005	1.550	
47	0.005	1.583	
48	0.005	1.616	
49	0.005	1.649	
50	0.005	1.682	
51	0.005	1.715	
52	0.005	1.749	
53	0.005	1.781	
54	0.005	1.814	
55	0.005	1.847	
56	0.005	1.880	
57	0.005	1.913	
58	0.005	1.946	
59	0.005	1.980	
60	0.005	2.012	
61	0.005	2.045	
62	0.005	2.079	
63	0.005	2.111	
64	0.005	2.144	
65	0.005	2.177	
66	0.005	2.210	
67	0.005	2.244	
68	-0.005	2.276	
69	-0.005	2.309	
70	-0.005	2.375	
71	-0.035	2.408	
72	-0.160	2.441	
73	-0.120	2.507	
74	-0.125	2.540	
75	-0.130	2.573	
76	-0.145	2.606	
77	-0.160	2.639	
78	-0.175	2.672	
79	-0.195	2.705	
80	-0.225	2.739	
81	-0.250	2.771	
82	-0.260	2.804	
83	-0.255	2.837	
84	-0.260	2.871	
85	-0.260	2.903	
86	-0.250	2.936	
87	-0.240	2.969	
88	-0.225	3.002	
89	-0.220	3.035	
90	-0.230	3.101	
91	-0.220	3.134	
92	-0.215	3.167	
93	-0.215	3.200	
94	-0.215	3.233	
95	-0.215	3.266	
96	-0.215	3.300	
97	-0.240	3.366	
98	-0.265	3.398	
99	-0.275	3.431	
100	-0.280	3.464	
101	-0.305	3.497	
102	-0.330	3.530	
103	-0.335	3.563	
104	-0.325	3.629	
105	-0.330	3.663	
106	-0.295	3.728	
107	-0.285	3.761	
108	-0.280	3.794	
109	-0.260	3.828	
110	-0.235	3.860	
111	-0.220	3.893	
112	-0.215	3.926	
113	-0.210	3.959	
114	-0.200	3.992	
115	-0.190	4.025	
116	-0.195	4.058	
117	-0.200	4.091	
118	-0.195	4.124	
119	-0.180	4.157	
120	-0.185	4.190	
121	-0.200	4.223	
122	-0.210	4.256	
123	-0.210	4.289	
124	-0.215	4.322	
125	-0.225	4.355	
126	-0.235	4.388	
127	-0.225	4.421	
128	-0.215	4.455	
129	-0.230	4.487	
130	-0.245	4.520	
131	-0.255	4.553	
132	-0.260	4.586	
133	-0.265	4.620	
134	-0.285	4.652	
135	-0.285	4.686	
136	-0.270	4.718	
137	-0.255	4.751	
138	-0.260	4.784	
139	-0.265	4.817	
140	-0.260	4.850	
141	-0.255	4.884	
142	-0.265	4.916	
143	-0.275	4.949	
144	-0.260	4.982	
145	-0.240	5.015	
146	-0.230	5.048	
147	-0.235	5.081	
148	-0.230	5.114	
149	-0.220	5.147	
150	-0.220	5.180	
151	-0.235	5.213	
152	-0.245	5.247	
153	-0.230	5.279	
154	-0.220	5.313	
155	-0.235	5.345	
156	-0.230	5.378	
157	-0.225	5.411	
158	-0.225	5.444	
159	-0.225	5.477	
160	-0.230	5.510	
161	-0.225	5.543	
162	-0.215	5.576	
163	-0.215	5.609	
164	-0.225	5.642	
165	-0.235	5.675	
166	-0.230	5.708	
167	-0.225	5.741	
168	-0.225	5.774	
169	-0.225	5.808	
170	-0.215	5.840	
171	-0.210	5.873	
172	-0.215	5.906	
173	-0.220	5.939	
174	-0.210	5.972	
175	-0.200	6.005	
176	-0.195	6.038	
177	-0.195	6.071	
178	-0.190	6.104	
179	-0.180	6.138	
180	-0.185	6.170	
181	-0.195	6.204	
182	-0.200	6.236	
183	-0.205	6.269	
184	-0.205	6.302	
185	-0.215	6.335	
186	-0.225	6.368	
187	-0.230	6.401	
188	-0.220	6.434	
189	-0.230	6.467	
190	-0.245	6.500	
191	-0.245	6.533	
192	-0.240	6.566	
193	-0.235	6.599	
194	-0.225	6.632	
195	-0.215	6.665	
196	-0.195	6.698	
197	-0.180	6.732	
198	-0.175	6.764	
199	-0.175	6.798	
200	-0.165	6.830	
201	-0.155	6.863	
202	-0.150	6.896	
203	-0.155	6.929	
204	-0.150	6.962	
205	-0.140	6.995	
206	-0.135	7.028	
207	-0.150	7.061	
208	-0.150	7.094	
209	-0.150	7.127	
210	-0.150	7.160	
211	-0.160	7.193	
212	-0.175	7.226	
213	-0.170	7.259	
214	-0.160	7.293	
215	-0.170	7.325	
216	-0.195	7.358	
217	-0.200	7.391	
218	-0.205	7.424	
219	-0.210	7.457	
220	-0.230	7.491	
221	-0.235	7.523	
222	-0.220	7.556	
223	-0.210	7.622	
224	-0.220	7.655	
225	-0.220	7.688	
226	-0.210	7.721	
227	-0.205	7.754	
228	-0.215	7.787	
229	-0.210	7.820	
230	-0.180	7.853	
231	-0.170	7.886	
232	-0.180	7.919	
233	-0.185	7.952	
234	-0.175	7.985	
235	-0.175	8.018	
236	-0.185	8.052	
237	-0.200	8.084	
238	-0.195	8.117	
239	-0.190	8.150	
240	-0.200	8.183	
241	-0.210	8.216	
242	-0.205	8.250	
243	-0.205	8.282	
244	-0.205	8.315	
245	-0.215	8.348	
246	-0.210	8.381	
247	-0.205	8.414	
248	-0.215	8.447	
249	-0.230	8.480	
250	-0.230	8.513	
251	-0.220	8.546	
252	-0.205	8.579	
253	-0.200	8.612	
254	-0.200	8.645	
255	-0.195	8.678	
256	-0.185	8.711	
257	-0.185	8.744	
258	-0.195	8.778	
259	-0.190	8.810	
260	-0.185	8.844	
261	-0.180	8.876	
262	-0.180	8.909	
263	-0.180	8.943	
264	-0.170	8.975	
265	-0.170	9.008	
266	-0.185	9.041	
267	-0.205	9.107	
268	-0.205	9.140	
269	-0.225	9.206	
270	-0.220	9.239	
271	-0.210	9.272	
272	-0.220	9.305	
273	-0.245	9.338	
274	-0.250	9.371	
275	-0.245	9.404	
276	-0.220	9.437	
277	-0.200	9.470	
278	-0.200	9.504	
279	-0.175	9.536	
280	-0.155	9.569	
281	-0.150	9.602	
282	-0.150	9.635	
283	-0.150	9.668	
284	-0.140	9.701	
285	-0.135	9.734	
286	-0.135	9.767	
287	-0.130	9.800	
288	-0.120	9.833	
289	-0.125	9.866	
290	-0.130	9.899	
291	-0.140	9.932	
292	-0.135	9.965	
293	-0.135	9.998	
294	-0.135	10.032	
295	-0.150	10.064	
296	-0.145	10.131	
297	-0.155	10.163	
298	-0.185	10.229	
299	-0.190	10.263	
300	-0.200	10.295	
301	-0.225	10.329	
302	-0.225	10.361	
303	-0.200	10.394	
304	-0.200	10.427	
305	-0.200	10.460	
306	-0.200	10.493	
307	-0.195	10.526	
308	-0.185	10.559	
309	-0.185	10.592	
310	-0.190	10.625	
311	-0.185	10.658	
312	-0.155	10.691	
313	-0.145	10.724	
314	-0.150	10.759	
315	-0.155	10.791	
316	-0.145	10.823	
317	-0.145	10.857	
318	-0.150	10.889	
319	-0.170	10.922	
320	-0.165	10.955	
321	-0.160	10.989	
322	-0.175	11.021	
323	-0.195	11.054	
324	-0.200	11.120	
325	-0.195	11.153	
326	-0.195	11.219	
327	-0.190	11.252	
328	-0.190	11.285	
329	-0.205	11.318	
330	-0.190	11.353	
331	-0.190	11.384	
332	-0.175	11.451	
333	-0.180	11.484	
334	-0.165	11.549	
335	-0.170	11.582	
336	-0.180	11.648	
337	-0.170	11.681	
338	-0.165	11.715	
339	-0.170	11.747	
340	-0.155	11.814	
341	-0.150	11.847	
342	-0.180	11.912	
343	-0.180	11.945	
344	-0.180	11.978	
345	-0.185	12.013	
346	-0.195	12.044	
347	-0.190	12.110	
348	-0.195	12.143	
349	-0.245	12.209	
350	-0.250	12.242	
351	-0.215	12.309	
352	-0.200	12.341	
353	-0.160	12.407	
354	-0.145	12.441	
355	-0.145	12.506	
356	-0.145	12.540	
357	-0.135	12.573	
358	-0.135	12.606	
359	-0.130	12.671	
360	-0.125	12.704	
361	-0.135	12.770	
362	-0.135	12.803	
363	-0.140	12.869	
364	-0.145	12.902	
365	-0.135	12.968	
366	-0.145	13.001	
367	-0.185	13.067	
368	-0.185	13.100	
369	-0.215	13.166	
370	-0.225	13.199	
371	-0.200	13.265	
372	-0.195	13.298	
373	-0.195	13.364	
374	-0.195	13.397	
375	-0.205	13.463	
376	-0.205	13.497	
377	-0.165	13.563	
378	-0.170	13.595	
379	-0.165	13.661	
380	-0.160	13.694	
381	-0.170	13.760	
382	-0.170	13.793	
383	-0.185	13.860	
384	-0.195	13.892	
385	-0.200	13.958	
386	-0.215	13.991	
387	-0.230	14.057	
