1/27/2022  12:55 PM
Units: Ncm
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.005	0.000	
2	0.005	0.100	
3	0.005	0.165	
4	0.005	0.198	
5	0.005	0.231	
6	0.005	0.264	
7	0.005	0.297	
8	0.005	0.330	
9	0.005	0.363	
10	0.005	0.397	
11	0.005	0.429	
12	0.005	0.462	
13	0.005	0.496	
14	0.005	0.528	
15	0.005	0.561	
16	0.005	0.594	
17	0.005	0.627	
18	0.005	0.660	
19	0.005	0.693	
20	0.005	0.726	
21	0.005	0.759	
22	0.005	0.792	
23	0.005	0.825	
24	0.005	0.858	
25	0.005	0.892	
26	0.005	0.925	
27	0.005	0.958	
28	0.005	0.990	
29	0.005	1.023	
30	0.005	1.056	
31	0.005	1.089	
32	0.005	1.122	
33	0.005	1.156	
34	0.005	1.188	
35	0.005	1.221	
36	0.005	1.287	
37	0.005	1.320	
38	0.005	1.353	
39	0.005	1.386	
40	0.005	1.419	
41	0.005	1.452	
42	0.005	1.485	
43	0.005	1.518	
44	0.005	1.551	
45	0.005	1.584	
46	0.005	1.617	
47	0.005	1.650	
48	0.005	1.683	
49	0.005	1.716	
50	0.005	1.750	
51	0.005	1.782	
52	0.005	1.815	
53	0.005	1.848	
54	0.005	1.881	
55	0.005	1.914	
56	0.000	1.947	
57	0.005	1.980	
58	0.005	2.013	
59	0.000	2.046	
60	0.005	2.079	
61	0.005	2.113	
62	0.005	2.145	
63	0.005	2.178	
64	0.005	2.212	
65	0.005	2.244	
66	0.005	2.277	
67	0.005	2.310	
68	0.005	2.343	
69	0.005	2.376	
70	0.005	2.410	
71	0.005	2.442	
72	0.005	2.475	
73	0.005	2.508	
74	0.005	2.542	
75	0.005	2.575	
76	0.005	2.607	
77	0.005	2.640	
78	0.005	2.674	
79	-0.230	2.706	
80	-0.110	2.739	
81	-0.245	2.773	
82	-0.170	2.805	
83	-0.305	2.871	
84	-0.245	2.904	
85	-0.460	2.970	
86	-0.500	3.003	
87	-0.520	3.036	
88	-0.470	3.071	
89	-0.470	3.102	
90	-0.465	3.135	
91	-0.445	3.168	
92	-0.445	3.202	
93	-0.455	3.234	
94	-0.465	3.267	
95	-0.475	3.300	
96	-0.460	3.333	
97	-0.450	3.399	
98	-0.325	3.432	
99	-0.340	3.498	
100	-0.320	3.531	
101	-0.305	3.564	
102	-0.280	3.597	
103	-0.280	3.630	
104	-0.305	3.663	
105	-0.435	3.697	
106	-0.400	3.729	
107	-0.420	3.762	
108	-0.445	3.795	
109	-0.470	3.828	
110	-0.490	3.862	
111	-0.505	3.894	
112	-0.515	3.927	
113	-0.535	3.960	
114	-0.550	3.993	
